year,species_code,age,males,females,unsexed
2017,10110,2,16650746,51179738.35714286,0
2017,10110,3,30032263.333333332,53022030.22619048,0
2017,10110,4,50636281.78648019,134489644.82132253,0
2017,10110,5,52914450.45198135,100595103.49434163,0
2017,10110,6,24326880.376007326,43627450.3400135,0
2017,10110,7,4674981.865934066,27411723.184221335,0
2017,10110,8,3827660.486263736,19320895.811435785,0
2017,10110,9,1587223.75,17639853.64642857,0
2017,10110,10,106974.8,18748872.62564935,0
2017,10110,11,2400736.25,15197522.049531024,0
2017,10110,12,352347.25,6374873.123015873,0
2017,10110,13,459322.05,4465255.333333333,0
2017,10110,14,0,1728112.8055555555,0
2017,10110,15,0,723529,0
2017,10110,17,106974.8,0,0
2017,10110,18,0,809256.1818181819,0
2017,10110,19,106974.8,0,0
2017,10110,22,0,0,0
2017,10112,1,31049,26280,0
2017,10112,2,2861014.380952381,3783722.476190476,0
2017,10112,3,15209960.333333334,13948991.616594516,0
2017,10112,4,12023472.67857143,10214817.85523088,0
2017,10112,5,10470447.232142858,9991311.915873015,0
2017,10112,6,5294447.844047619,5902794.425396825,0
2017,10112,7,3932517.85,5136387.253571428,0
2017,10112,8,957256.880952381,4132986.307142857,0
2017,10112,9,991712.5,670030.7333333333,0
2017,10112,10,305224,73185.33333333333,0
2017,10112,11,305224,489194.25,0
2017,10112,12,114685.8,0,0
2017,10112,13,153267.5,73185.33333333333,0
2017,10112,14,254278,270092.5,0
2017,10112,15,219582,77061,0
2017,10112,16,0,132689,0
2017,10112,17,0,263557,0
2017,10112,18,0,23990.5,0
2017,10112,20,0,209750,0
2017,10112,22,199909,0,0
2017,10112,23,0,23990.5,0
2017,10112,25,0,152775,0
2017,10112,27,0,60027,0
2017,10112,31,0,60027,0
2017,10115,1,28436,0,0
2017,10115,2,113346,0,0
2017,10115,3,89035,117707,0
2017,10115,4,184722,147426.5,0
2017,10115,5,166541.66666666666,313457.1666666666,0
2017,10115,6,453796.3333333333,424998.3333333333,0
2017,10115,7,354286.8333333333,224357.65,0
2017,10115,8,522365.26666666666,804276.9,0
2017,10115,9,714259.5666666667,931812.2,0
2017,10115,10,542499.5,1377320.5666666667,0
2017,10115,11,381806.23333333334,464153.01666666666,0
2017,10115,12,260987.90000000002,640693.5,0
2017,10115,13,46875.5,61603.5,0
2017,10115,14,42018.200000000004,212095,0
2017,10115,15,0,9389.5,0
2017,10115,16,0,53152.166666666664,0
2017,10115,17,0,58900,0
2017,10115,18,0,0,0
2017,10115,21,0,20898,0
2017,10115,23,0,96840,0
2017,10115,30,29704,0,0
2017,10130,1,1003496,267585,5416057
2017,10130,2,64065706.333333336,61133876,56245549.06666667
2017,10130,3,96915883.59047619,79826098.81934047,1216539.4500000002
2017,10130,4,157900247.35119048,140054645.61205757,147792.68333333332
2017,10130,5,85691197.54423077,57977224.840128176,16853.8
2017,10130,6,209317053.98793706,177863878.7369663,30457.8125
2017,10130,7,64433007.803205125,87324973.67093201,40305.88234969054
2017,10130,8,42708217.724419706,65561187.563649096,41459.877873563215
2017,10130,9,64176138.94007055,33288157.684704185,22649.215683023875
2017,10130,10,55959312.194345474,50013909.16062271,41629.71601458886
2017,10130,11,38774551.21339897,50804969.50744811,70850.30042550841
2017,10130,12,21553579.172368422,36530764.19993895,20866.54020225464
2017,10130,13,19969039.794186603,35750222.37554945,32513.690511715296
2017,10130,14,32446600.92132775,18598727.303418804,30765.032659151195
2017,10130,15,21272086.059772726,11821824.892857142,27284.121933023875
2017,10130,16,9268243.40340909,14427129.540018314,26130.126409151195
2017,10130,17,2511227.8325,13627818.32905983,10968.04774535809
2017,10130,18,6941579.792727273,10743953.236111112,8556.692307692309
2017,10130,19,9968974.136363637,5337203.625,0
